age,gender,year,speciality,medsub,surgsub,Empathyscore,EntryYrintoUCCmed,Hpat1IntoUCCmed,Hpat2IntoUCCmed,Hpat3IntoUCCmed,HPATIntoUCCmed
1,2,2,23,0,0,104,2013,68,65,62,195
1,1,2,3,0,0,111,2013,66,58,62,187
1,2,2,5,1,0,126,2013,60,68,64,192
1,1,1,7,0,0,116,2014,58.00,54.00,66.00,174.00
1,1,1,20,0,4,100,2014,62.00,54.00,70.00,180.00
1,1,1,20,0,1,101,2014,58.00,52.00,58.00,166.00
1,2,1,2,0,0,106,2014,50.00,65.00,60.00,175.00
1,2,1,13,0,0,112,2014,53.00,60.00,60.00,172.00
1,1,1,23,0,0,104,2014,68.00,48.00,58.00,174.00
1,1,1,14,0,0,117,2014,47.00,58.00,60.00,162.00
1,2,1,0,0,0,109,2014,50.00,58.00,66.00,169.00
1,1,1,23,0,0,118,2014,73.00,60.00,56.00,193.00
1,1,1,23,0,0,114,2014,64.00,50.00,66.00,175.00
1,1,1,20,0,8,87,2014,68.00,46.00,58.00,171.00
1,2,1,23,0,0,104,2014,60.00,63.00,58.00,182.00
1,1,1,13,7,4,95,2014,60.00,50.00,60.00,168.00
1,2,1,13,0,3,130,2014,47.00,63.00,56.00,165.00
1,2,1,23,0,0,113,2014,60.00,65.00,56.00,184.00
1,2,1,8,0,0,119,2014,52.00,60.00,63.00,172.00
1,2,1,23,0,0,102,2014,55.00,63.00,56.00,175.00
1,1,1,23,0,0,102,2014,60.00,60.00,54.00,177.00
1,2,1,23,0,0,119,2014,62.00,58.00,52.00,175.00
1,2,1,23,0,0,99,2014,60.00,72.00,52.00,190.00
1,1,1,23,0,0,125,2014,62.00,54.00,70.00,180.00
1,2,1,3,1,1,115,2014,50.00,48.00,63.00,155.00
1,2,1,13,0,0,112,2014,70.00,50.00,56.00,177.00
1,2,1,3,0,0,124,2014,55.00,52.00,58.00,162.00
1,2,1,23,0,0,99,2014,68.00,63.00,60.00,193.00
1,2,1,20,0,1,115,2014,58.00,60.00,70.00,184.00
1,2,1,13,0,0,113,2014,73.00,54.00,66.00,191.00
1,2,1,20,0,5,111,2014,53.00,56.00,58.00,165.00
1,2,1,17,0,0,122,2014,58.00,65.00,48.00,177.00
1,2,1,3,0,0,123,2014,48.00,68.00,56.00,174.00
1,1,1,2,0,0,107,2014,55.00,50.00,66.00,165.00
1,2,1,3,0,0,113,2014,64.00,82.00,54.00,207.00
1,2,1,20,0,8,116,2014,56.00,65.00,54.00,179.00
1,1,1,23,0,0,120,2014,55.00,63.00,52.00,172.00
1,2,1,23,0,0,117,2014,50.00,72.00,58.00,181.00
1,2,1,8,0,0,106,2014,48.00,58.00,56.00,161.00
1,1,1,13,6,4,109,2014,62.00,60.00,60.00,182.00
1,1,1,23,0,0,98,2014,64.00,63.00,66.00,191.00
1,1,1,23,0,0,127,2014,55.00,50.00,75.00,171.00
1,1,1,23,0,0,94,2014,73.00,58.00,75.00,202.00
1,2,1,13,0,0,114,2014,84.00,72.00,63.00,225.00
1,2,1,20,0,8,112,2014,53.00,58.00,66.00,173.00
1,1,1,20,0,5,122,2014,68.00,52.00,54.00,176.00
1,2,1,23,0,0,110,2014,47.00,65.00,56.00,168.00
1,1,1,23,0,0,119,2014,56.00,60.00,75.00,185.00
1,1,1,23,0,0,110,2014,53.00,65.00,70.00,184.00
1,1,1,5,1,0,113,2014,68.00,54.00,75.00,191.00
1,2,1,23,0,0,122,2014,60.00,63.00,54.00,180.00
1,1,1,23,0,0,97,2014,68.00,50.00,63.00,179.00
1,1,1,20,0,5,113,2014,58.00,56.00,48.00,165.00
1,2,1,23,0,0,110,2014,58.00,54.00,56.00,168.00
1,2,1,5,6,0,124,2014,55.00,90.00,54.00,206.00
1,1,1,15,0,0,117,2014,68.00,58.00,48.00,179.00
1,2,1,23,0,0,99,2014,53.00,63.00,51.00,169.00
1,1,1,6,0,0,119,2014,66.00,56.00,52.00,177.00
1,2,1,23,0,0,113,2014,58.00,63.00,75.00,190.00
1,2,1,23,0,0,105,2014,55.00,63.00,52.00,172.00
1,2,1,8,0,0,101,2014,60.00,54.00,60.00,172.00
1,1,1,20,0,1,110,2014,43.00,41.00,37.00,123.00
3,2,1,9,0,0,139,2014,45.00,60.00,49.00,156.00
1,1,1,3,0,0,121,2014,66.00,48.00,54.00,169.00
,,,,,,,,,,,
